time;msg_out;bytes_out
1575983240.314842;475;3420000
1575983241.321486;249;1792800
1575983242.325203;350;2520000
time;msg_out;bytes_out
1575983586.564402;832;5990400
1575983587.567119;1018;7329600
1575983588.568961;878;6321600
1575983589.574042;857;6170400
1575983590.574528;848;6105600
1575983591.581601;894;6436800
1575983592.591432;868;6249600
1575983593.596917;863;6213600
1575983594.605822;830;5976000
1575983595.606697;811;5839200
1575983596.607423;643;4629600
1575983597.612048;720;5184000
1575983598.613026;824;5932800
1575983599.613912;857;6170400
1575983600.613864;862;6206400
1575983601.616249;719;5176800
1575983602.630697;856;6163200
1575983603.633054;909;6544800
1575983604.640511;797;5738400
1575983605.644583;666;4795200
1575983606.646296;733;5277600
1575983607.646969;729;5248800
1575983608.652102;756;5443200
1575983609.654565;757;5450400
1575983610.682613;656;4723200
1575983611.686275;711;5119200
1575983612.686881;656;4723200
1575983613.688818;777;5594400
1575983614.689498;792;5702400
1575983615.693190;770;5544000
1575983616.693244;770;5544000
1575983617.693212;605;4356000
1575983618.696637;704;5068800
1575983619.699289;743;5349600
1575983620.700131;740;5328000
1575983621.700935;721;5191200
1575983622.705780;749;5392800
1575983623.714761;702;5054400
1575983624.718387;670;4824000
1575983625.718370;677;4874400
1575983626.723846;663;4773600
1575983627.725647;651;4687200
1575983628.728474;653;4701600
1575983629.731401;680;4896000
1575983630.737276;716;5155200
1575983631.740767;722;5198400
1575983632.753741;738;5313600
1575983633.756457;723;5205600
1575983634.758038;479;3448800
1575983635.760874;528;3801600
1575983636.764926;492;3542400
1575983637.775563;655;4716000
1575983638.785364;727;5234400
1575983639.795296;745;5364000
1575983640.800365;783;5637600
1575983641.801851;766;5515200
1575983642.806689;757;5450400
1575983643.810320;653;4701600
1575983644.811886;666;4795200
1575983645.812754;692;4982400
1575983646.814784;662;4766400
1575983647.820516;657;4730400
1575983648.821958;716;5155200
1575983649.822810;666;4795200
1575983650.823895;686;4939200
1575983651.827512;700;5040000
1575983652.828410;730;5256000
1575983653.834203;745;5364000
1575983654.836909;766;5515200
1575983655.837440;632;4550400
1575983656.846457;694;4996800
1575983657.855051;681;4903200
1575983658.862952;801;5767200
1575983659.868740;733;5277600
1575983660.883674;822;5918400
1575983661.892417;826;5947200
1575983662.897603;734;5284800
1575983663.900875;736;5299200
1575983664.900877;659;4744800
1575983665.908470;717;5162400
1575983666.909101;759;5464800
1575983667.910998;709;5104800
1575983668.916765;727;5234400
1575983669.917607;758;5457600
1575983670.918686;680;4896000
1575983671.926115;749;5392800
1575983672.929999;708;5097600
1575983673.930842;735;5292000
1575983674.936507;742;5342400
1575983675.937121;683;4917600
1575983676.941911;694;4996800
1575983677.975577;508;3657600
1575983678.996529;802;5774400
1575983679.998261;713;5133600
1575983681.007996;803;5781600
1575983682.018915;823;5925600
1575983683.022802;846;6091200
1575983684.023270;778;5601600
1575983685.031253;714;5140800
1575983686.032093;665;4788000
1575983687.035586;705;5076000
1575983688.043707;710;5112000
1575983689.051218;714;5140800
1575983690.051228;740;5328000
1575983691.086046;429;3088800
1575983692.091499;812;5846400
1575983693.094428;715;5148000
1575983694.101606;738;5313600
1575983695.109044;726;5227200
1575983696.114527;741;5335200
1575983697.121349;781;5623200
1575983698.121369;798;5745600
1575983699.126065;807;5810400
1575983700.127714;812;5846400
1575983701.127752;784;5644800
1575983702.130170;798;5745600
1575983703.131024;777;5594400
1575983704.139915;794;5716800
1575983705.144589;781;5623200
1575983706.153571;775;5580000
1575983707.155058;665;4788000
1575983708.155075;814;5860800
1575983709.155699;849;6112800
1575983710.162746;824;5932800
1575983711.165780;851;6127200
1575983712.171106;849;6112800
1575983713.173970;843;6069600
1575983714.173964;820;5904000
1575983715.174280;822;5918400
1575983716.175011;801;5767200
1575983717.176499;634;4564800
1575983718.194690;748;5385600
1575983719.198600;782;5630400
1575983720.202201;800;5760000
1575983721.216472;842;6062400
1575983722.222677;811;5839200
1575983723.225508;795;5724000
1575983724.227313;823;5925600
1575983725.232336;796;5731200
1575983726.232181;782;5630400
1575983727.233872;802;5774400
1575983728.235435;810;5832000
1575983729.241273;703;5061600
1575983730.244089;803;5781600
1575983731.247135;808;5817600
1575983732.248446;807;5810400
1575983733.253641;812;5846400
1575983734.262373;836;6019200
1575983735.263112;839;6040800
1575983736.264657;667;4802400
1575983737.266511;810;5832000
1575983738.268139;811;5839200
1575983739.270233;689;4960800
1575983740.270811;790;5688000
1575983741.277534;787;5666400
1575983742.280375;809;5824800
1575983743.290449;811;5839200
1575983744.306969;821;5911200
1575983745.310660;821;5911200
1575983746.316346;820;5904000
1575983747.327211;651;4687200
1575983748.336009;838;6033600
1575983749.387845;727;5234400
1575983750.390472;856;6163200
1575983751.399263;842;6062400
1575983752.399915;828;5961600
1575983753.405545;817;5882400
1575983754.405518;856;6163200
1575983755.413446;826;5947200
1575983756.417032;835;6012000
1575983757.418887;677;4874400
1575983758.424194;824;5932800
1575983759.425477;850;6120000
1575983760.431950;754;5428800
1575983761.432190;784;5644800
1575983762.434124;809;5824800
1575983763.434797;794;5716800
1575983764.436193;794;5716800
1575983765.443206;808;5817600
1575983766.443993;813;5853600
1575983767.453050;790;5688000
1575983768.464328;622;4478400
1575983769.465603;826;5947200
1575983770.466190;702;5054400
1575983771.468512;807;5810400
1575983772.476810;826;5947200
1575983773.478243;831;5983200
1575983774.482424;827;5954400
1575983775.482681;834;6004800
1575983776.485479;820;5904000
1575983777.486448;817;5882400
1575983778.490687;804;5788800
1575983779.493500;640;4608000
1575983780.495099;802;5774400
1575983781.497053;801;5767200
1575983782.500643;861;6199200
1575983783.501818;792;5702400
1575983784.504128;806;5803200
1575983785.511310;818;5889600
1575983786.513148;830;5976000
1575983787.520047;845;6084000
1575983788.528239;873;6285600
1575983789.532441;879;6328800
1575983790.532926;871;6271200
1575983791.534240;836;6019200
1575983792.539656;855;6156000
1575983793.546662;870;6264000
1575983794.548157;858;6177600
1575983795.555459;726;5227200
1575983796.557882;804;5788800
1575983797.558516;827;5954400
1575983798.558625;818;5889600
1575983799.558717;780;5616000
1575983800.561068;614;4420800
1575983801.562639;821;5911200
1575983802.571181;814;5860800
1575983803.572722;826;5947200
